DataName,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth,Rth
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,2862.7195836044243,3076.5286501730543,7404.407936599758,3120.0487507617304,6150.0615006150065,8080.263955289206,5826.472450918303,8180.399332651633,3064.066852367688,748.3091092243488
DataValue,2856.2155144433623,3079.686898498652,7193.435989659436,3156.2076192824557,6129.328838492185,8750.683647159934,5673.758865248226,8144.4569469002845,3070.124433073613,663.2320720080536
DataValue,2849.279585559333,2137.1940710099966,7867.820613690007,3143.032535297729,6134.9693251533745,8682.843631289248,5768.025078369907,8124.866367329485,3069.767441860465,663.310630737341
DataValue,2975.486052409129,2117.667150542225,7134.894091415831,3177.3613007322824,6165.2281134401965,8668.7306501548,5632.078359351086,8081.23770535382,3069.767441860465,661.9776582540339
DataValue,2910.05291005291,2142.178457285998,7196.266936526677,3181.7051951280137,6155.740227762389,8606.77783754707,5621.753742743661,8094.147718195858,3065.84601091627,745.3594209130654
DataValue,3070.4815073272857,2115.138592750533,7886.953664147222,3196.40404544887,6142.506142506142,8484.848484848486,5579.1388720436635,8107.963940897211,3065.84601091627,752.6959542592459
DataValue,2897.1193415637863,2121.2898811051236,7066.747639816706,3174.209547427154,6155.740227762389,7938.082952966858,5861.739407454604,8039.77573257167,3067.627236811527,753.1320153523064
DataValue,3104.603986593756,2132.416165090284,7234.4995195840165,3209.2265262630062,6155.740227762389,8616.047388260637,5746.408494690819,8009.273896090211,3064.4225188624496,749.5495495495495
DataValue,3033.95966212722,2119.4769677805316,7308.021695689409,3190.428713858425,6134.9693251533745,8598.188238906803,5647.6365868631065,7843.137254901961,3068.340306834031,754.443235400798
DataValue,2949.555890732361,2129.8522844383374,7322.235570047481,3189.633690505856,6144.393241167435,8548.31323462067,5575.757575757576,8147.949611364245,3069.053708439898,746.6436930145738
DataValue,2957.983193277311,2138.484090713115,7288.048738825941,3195.6060416926725,6114.338122898196,8565.965583173996,5504.0382889620105,8543.458914268762,3060.514722930675,747.9323984178353
DataValue,2791.4353687549565,2123.8331763295364,7227.5550536420105,3161.6648141286896,6150.0615006150065,8469.449485783425,5644.171779141105,7973.561349210512,3055.909248755643,754.6622160946231
DataValue,2932.355881372876,2111.536824180502,7794.7385514777525,3185.6645097063215,6169.031462060456,8512.578855362166,5450.236966824645,8503.602220385024,3059.8052851182197,748.9018506516886
DataValue,2892.833662064431,2177.9221919733027,7198.695236488386,3190.826374174249,6129.328838492185,8503.530483638297,5589.3074119076555,8017.723388543095,3061.579496694886,665.3201853391945
DataValue,2857.142857142857,2217.255252570407,7250.070801472671,3187.647864524966,6441.2238325281805,8668.7306501548,5621.753742743661,8450.704225352112,3055.909248755643,669.6962449174839
DataValue,2850.202429149798,2185.4071201973916,7298.853851856076,3194.0112289457265,6447.453255963894,8588.957055214725,5518.896220755849,8504.104411504162,3058.033128692228,666.5476403023271
DataValue,2723.6149798823894,2177.348551360843,7305.102157287981,3140.718930192614,6462.035541195477,8557.457212713938,5663.281009541398,8011.384599167238,3054.141601110597,733.1762241424457
DataValue,2759.9184569546806,2157.4597651152676,7265.296855488705,4010.3492884864168,6435.006435006435,8664.706792511219,5563.955246446931,8502.598016060463,3055.909248755643,727.6034561164166
DataValue,2737.1695178849145,2165.1824690064605,7360.975329231123,3227.026345644775,6042.998256827425,8625.33692722372,5757.196495619524,7993.268826251578,3058.033128692228,726.3765484142941
DataValue,2888.086642599278,2161.2200435729847,7320.560480411782,3225.4000251984376,6025.4924681344155,8612.734543217473,5651.105651105651,7773.345607036924,3059.09617612978,730.9273640931933
DataValue,2805.2279247688875,2173.913043478261,7346.610801813695,3244.2022557343807,5987.334484743812,8613.396908405753,5651.105651105651,8131.821099935802,3055.201944219419,733.4643091028161
DataValue,2659.815626416805,2187.527564611449,7375.821136337444,3261.561982418142,6002.886002886003,8517.110266159696,5712.511642347097,8070.5107783795265,3056.61688086141,737.9101330873634
DataValue,2837.794259916156,2201.9000266358876,7339.4495412844035,3314.3448990160537,6497.72579597141,8442.635308306952,5611.466910643489,8105.369807497467,3053.0819937550596,741.6236260098001
DataValue,2827.763496143959,2327.764220011263,7432.7855525230825,3320.7938772862885,6478.78198898607,8505.46780072904,5489.260143198091,8173.3612948325,3061.2244897959185,734.4743917633944
DataValue,2717.3073953991047,2309.9850968703427,7431.922429309644,3304.078471863707,5985.611510791367,8520.998174071821,5504.0382889620105,8208.229830435252,3054.141601110597,734.5707352266021
DataValue,2677.2132643748096,2229.2134831460676,7393.288280482875,3324.2436047266588,6035.983749274522,8537.236069822397,5587.610081992105,8183.922898831637,3048.850906571198,734.2817806333181
