DataName,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho,Rho
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm,220nm
Device,1,2,3,4,5,6,7,8,9,10
DataValue,1039.89601039896,10420.058612829696,11727.62588873415,1399.7900314952756,2999.700029997,12509.773260359656,11291.460832745237,11928.429423459245,13269.749118805723,1199.94000299985
DataValue,9472.259810554804,10598.132079221037,11280.315848843768,3160.0,12765.95744680851,3239.8380080995953,5666.769325531261,9186.706295595786,14197.823000473261,1184.7463902258423
DataValue,5979.073243647235,10163.031971204742,1279.8080287956807,2479.628055791631,13338.891204668613,759.92400759924,1279.87201279872,1679.91600419979,1399.8600139986,1202.2843402464684
DataValue,9136.592051164915,2599.7400259974,879.91200879912,2359.882005899705,13386.880856760376,2759.862006899655,11389.521640091116,13222.04776464755,7091.714967609956,1216.5450121654503
DataValue,3039.8480075996204,10173.802458668928,2319.88400579971,2199.7800219978003,13233.348037053374,12521.521364845828,1199.8800119988,10971.42857142857,1759.91200439978,2679.8660066996654
DataValue,3001.364256480218,6861.06346483705,11695.05153132081,12093.726379440664,13380.163907007862,12167.300380228138,2559.74402559744,1799.8200179982,3648.9288182446444,1116.7985109353187
DataValue,1959.80401959804,10520.778537611783,3039.69603039696,13615.365912958912,1119.8880111988801,12501.953430223473,10279.840091376356,2039.8980050997452,13628.62010221465,1127.3957158962796
DataValue,11133.446729550022,9637.264087806185,11108.5396898866,12431.134341008616,2559.74402559744,11986.814504045551,1319.86801319868,12976.480129764801,11068.068622025457,3319.834008299585
DataValue,7701.358434057118,2519.8740062996853,1159.942002899855,14406.627048442282,13104.013104013104,11943.863839952226,11412.268188302425,1519.9240037998102,14229.811454998222,1208.4592145015106
DataValue,9430.784776018863,10521.70100832968,1159.8840115988398,8725.912844751467,12539.184952978057,12171.928489920121,1799.8200179982,13245.033112582782,4552.96493482651,1213.9605462822458
DataValue,8157.389635316699,7447.633824670286,11730.205278592375,12431.134341008616,13377.926421404682,11216.263582194182,11269.722013523666,1439.85601439856,2519.8740062996853,919.9540022998851
DataValue,12354.576340986307,10519.39513477975,1439.85601439856,13615.365912958912,13221.683561040107,11750.305997552021,9834.599910594547,13275.804845668768,13406.751256882932,1110.532708658685
DataValue,9485.898195985434,1839.9080045997703,11305.822498586775,11755.39730982254,13098.649201801063,1519.84801519848,10717.703349282297,12618.296529968453,12907.852276801721,2239.7760223977602
DataValue,959.8560215967605,2079.89600519974,11605.97707819527,6628.425748884641,13087.934560327198,12171.928489920121,10481.49361283983,2279.7720227977197,14270.424545130218,1719.8280171982801
DataValue,10088.27238335435,10607.969236889214,10867.455850960607,8741.349706020084,2719.8640067996603,12334.892326669065,9027.889730775432,11838.21111476488,14119.30815390046,1399.930003499825
DataValue,12467.85630795605,1639.918004099795,11695.05153132081,13052.93691080493,13377.926421404682,12342.504499871431,11149.825783972126,11258.955987717503,14226.015826442608,746.9654528478059
DataValue,2680.0,8995.502248875562,11328.235627301048,11042.606055028986,3279.67203279672,12521.521364845828,11276.075925577898,3279.83600819959,2519.8740062996853,2679.8660066996654
DataValue,2359.6460530920363,6254.442075337598,11607.661056297156,12445.198698911045,12295.86935638809,719.92800719928,1239.87601239876,3319.66803319668,14122.631517006,1307.1895424836603
DataValue,2919.70802919708,10309.278350515464,11116.257526632699,14412.68316118184,12944.983818770228,12476.606363069246,2319.7680231976797,1559.8440155984401,7751.312071053693,1415.4281670205237
DataValue,9422.850412249707,10603.751076943468,11719.89452094931,10304.591604788606,13380.163907007862,11456.628477905075,11415.525114155253,13234.077750206783,10722.962218312809,3319.834008299585
DataValue,1599.8400159984,10610.783208435572,7887.990534411359,2879.85600719964,12284.069097888676,1319.86801319868,11165.387299371947,13218.770654329148,14234.875444839858,935.672514619883
DataValue,12472.715933894606,10607.265977194378,11123.98609501738,13615.365912958912,1399.8600139986,10066.346373827499,10048.988820499937,12614.980289093297,12342.215988779804,1199.8800119988
DataValue,12342.504499871431,10426.849136526556,11469.53405017921,2399.7600239976,2319.88400579971,11473.058799426348,10452.392617997715,12568.735271013355,13628.62010221465,1153.360965939809
DataValue,12507.817385866167,9425.07068803016,11721.611721611722,14585.232452142207,12034.096607053318,12513.686844986705,2119.8940052997355,10562.665041641276,14265.33523537803,1415.4281670205237
